A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
168.41,288.95,141.08,86.24,92.74,56.82,17.64,28.22,14.66,14.26,169.97,28.51,25.51,56.92,91.26,151.25,1299.96,5273.05,927,Settling, 10
168.41,287.97,140.11,85.30,91.98,56.82,17.64,28.22,14.66,14.26,169.97,28.51,25.51,58.95,91.26,151.25,1297.37,5261.92,1023,Settling, 10
167.56,287.97,140.11,85.30,91.98,56.82,17.64,28.22,14.66,14.26,169.32,28.51,25.51,58.95,91.26,151.25,1294.78,5251.91,1023,Settling, 10
167.56,287.97,140.11,85.30,91.98,56.82,17.64,28.22,14.66,14.26,169.32,28.51,25.51,58.95,90.48,150.46,1292.19,5240.78,986,Settling, 10
167.56,287.97,140.11,85.30,91.98,56.11,17.64,27.67,14.66,14.26,168.67,28.51,25.51,56.92,90.48,150.46,1290.46,5230.77,951,Settling, 10
166.70,286.99,139.15,85.30,91.22,56.11,17.64,27.67,14.66,14.26,168.67,28.51,25.51,57.94,90.48,150.46,1288.74,5218.53,1023,Settling, 10
178.67,289.93,153.64,89.99,100.34,61.79,19.35,29.88,15.14,15.60,174.49,30.48,25.51,59.97,92.05,156.79,1354.34,5703.66,920,Draining, 3
185.51,254.67,157.51,95.61,109.46,64.63,22.77,36.52,19.05,17.83,212.62,35.39,26.62,65.05,93.62,167.09,1501.94,6317.87,944,Draining, 3
182.95,253.69,158.47,94.67,112.50,64.63,22.77,35.97,18.56,17.83,206.80,35.39,25.51,65.05,88.12,160.75,1552.87,6464.74,275,Draining, 3
176.11,237.04,140.11,91.86,98.06,64.63,24.47,38.74,19.54,18.72,226.84,37.36,24.40,57.94,82.61,152.83,1283.56,6513.70,304,Draining, 3
174.40,226.26,148.81,92.80,108.70,63.92,24.47,39.29,20.03,18.72,224.25,36.38,23.29,63.02,80.25,149.67,1481.23,6416.90,335,Draining, 3
173.54,223.32,147.85,91.86,108.70,63.21,23.91,39.29,20.03,18.72,222.96,36.38,23.29,60.99,80.25,150.46,1482.95,6455.84,244,Draining, 3
174.40,226.26,147.85,92.80,108.70,63.92,23.91,38.74,20.03,18.72,222.31,36.38,23.29,63.02,80.25,150.46,1483.82,6482.55,213,Draining, 3
172.69,224.30,146.88,91.86,107.94,63.21,23.91,38.74,20.03,18.72,222.96,36.38,23.29,63.02,80.25,149.67,1484.68,6497.01,261,Draining, 3
171.83,223.32,146.88,90.93,107.94,63.21,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,149.67,1486.41,6509.25,339,Draining, 3
170.98,222.34,146.88,90.93,107.94,63.21,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,150.46,1489.86,6522.60,350,Draining, 3
170.98,222.34,146.88,90.93,107.94,63.21,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1485.54,6493.67,350,Draining, 3
170.98,221.37,146.88,90.93,107.18,63.21,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1485.54,6494.79,288,Draining, 3
170.98,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,80.25,150.46,1488.13,6500.35,335,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,149.67,1485.54,6492.56,244,Draining, 3
170.98,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1485.54,6489.22,373,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1486.41,6493.67,295,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.31,36.38,23.29,63.02,79.46,149.67,1486.41,6494.79,282,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.31,36.38,23.29,60.99,79.46,149.67,1486.41,6489.22,280,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1485.54,6483.66,322,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1484.68,6473.65,324,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1483.82,6479.21,255,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,148.87,1483.82,6479.21,293,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,148.87,1484.68,6481.43,299,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1484.68,6480.32,319,Draining, 3
170.12,219.41,145.91,89.99,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1483.82,6478.10,344,Draining, 3
170.12,219.41,145.91,89.99,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,148.87,1483.82,6478.10,409,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1482.95,6478.10,385,Draining, 3
170.12,219.41,145.91,91.86,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1483.82,6480.32,370,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,148.87,1484.68,6484.77,367,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1484.68,6490.34,367,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1485.54,6490.34,365,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1484.68,6488.11,319,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,148.87,1483.82,6488.11,420,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1484.68,6489.22,398,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,63.02,79.46,149.67,1484.68,6489.22,300,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1485.54,6492.56,365,Draining, 3
170.12,219.41,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1486.41,6493.67,323,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,149.67,1486.41,6494.79,391,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,60.99,79.46,149.67,1486.41,6493.67,380,Draining, 3
170.12,220.39,145.91,90.93,107.18,62.50,23.91,38.74,19.54,18.72,222.96,36.38,23.29,62.00,79.46,149.67,1485.54,6493.67,368,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6493.67,299,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6492.56,363,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1486.41,6493.67,367,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1486.41,6492.56,296,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6492.56,296,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1486.41,6491.45,282,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6493.67,400,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1487.27,6494.79,337,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1487.27,6495.90,279,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,60.99,79.46,149.67,1487.27,6497.01,241,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,60.99,79.46,149.67,1486.41,6495.90,293,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1486.41,6493.67,231,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,63.02,79.46,149.67,1485.54,6493.67,356,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6493.67,287,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,60.99,79.46,149.67,1485.54,6493.67,235,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1485.54,6492.56,404,Draining, 3
170.98,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,62.00,79.46,149.67,1486.41,6494.79,433,Draining, 3
170.12,220.39,145.91,90.93,107.18,63.21,23.91,38.74,19.54,18.72,223.61,36.38,23.29,60.99,79.46,149.67,1486.41,6493.67,373,Draining, 3
