A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
3.50,32.27,100.42,38.98,47.45,77.58,62.18,60.99,30.27,8.93,1.96,1.95,129.24,24.95,13.15,6.71,5.53,3.57,981,f
3.50,32.27,99.56,38.98,47.45,77.58,61.59,60.43,29.80,8.93,1.96,1.95,129.24,24.95,13.15,6.71,5.53,3.57,725,f
3.50,32.27,100.42,38.98,47.45,76.99,60.99,59.87,29.80,8.93,1.96,1.95,129.24,24.95,13.15,6.71,5.53,3.57,955,f
3.50,32.27,100.42,38.98,47.45,76.99,60.99,59.87,29.32,8.93,1.96,1.95,129.24,24.95,13.15,6.71,5.53,3.57,1023,f
3.50,32.27,101.28,38.98,46.80,76.40,61.59,60.43,29.80,8.93,1.96,1.95,126.95,23.87,13.15,6.71,5.53,3.57,1023,f
3.50,32.27,101.28,38.98,46.80,76.40,59.19,58.75,29.32,8.46,1.96,1.95,123.52,23.87,12.28,6.71,5.53,3.57,1016,f
3.50,33.22,102.13,39.81,46.80,75.81,56.20,55.95,27.90,7.99,1.96,1.95,121.23,23.87,12.28,6.71,5.53,3.57,899,f
3.50,33.22,103.85,39.81,46.80,75.81,54.41,54.27,26.96,7.99,1.96,1.95,115.51,20.61,12.28,5.87,4.61,2.38,1023,f
3.50,33.22,102.13,38.98,45.50,72.85,73.54,78.89,36.89,10.34,2.61,2.93,93.78,14.10,10.52,5.03,2.77,1.19,1023,f
3.50,32.27,97.84,36.49,42.90,68.70,25.71,37.49,22.23,4.23,1.96,2.93,64.05,8.68,7.89,3.36,1.84,1.19,1015,f
3.50,30.38,92.69,34.83,40.30,64.55,25.71,37.49,22.23,4.23,1.96,2.93,66.33,9.76,7.89,3.36,1.84,1.19,812,f
5.26,67.40,133.89,43.95,49.40,62.19,29.30,40.85,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,152.77,43.12,45.50,52.71,30.49,42.52,24.59,5.17,1.96,2.93,73.20,10.85,7.89,3.36,2.77,1.19,975,f
7.01,87.33,153.63,43.95,46.15,52.71,30.49,42.52,24.59,5.17,1.96,2.93,73.20,10.85,7.89,3.36,2.77,1.19,1013,f
7.01,86.38,151.91,43.95,44.85,51.53,30.49,42.52,24.59,4.70,1.96,2.93,73.20,10.85,7.89,3.36,2.77,1.19,1023,f
7.01,86.38,150.20,43.12,44.85,50.93,30.49,42.52,24.59,4.70,1.96,2.93,73.20,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,149.34,43.12,44.85,50.93,30.49,41.96,24.59,5.17,1.96,2.93,73.20,10.85,7.89,3.36,2.77,1.19,581,f
7.01,85.43,148.48,43.12,44.20,50.34,30.49,41.96,24.12,5.17,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,807,f
7.01,85.43,147.62,43.12,44.20,50.34,30.49,41.96,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,1013,f
7.01,85.43,148.48,43.12,44.20,50.34,30.49,41.96,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,1009,f
7.01,85.43,148.48,43.12,44.20,49.75,30.49,41.96,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,608,f
7.01,85.43,148.48,42.29,44.20,49.75,29.90,41.40,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,836,f
7.01,85.43,148.48,42.29,44.20,49.75,29.90,41.40,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,1015,f
7.01,85.43,148.48,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,632,f
7.01,85.43,147.62,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,72.05,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,147.62,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,148.48,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,929,f
