A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
4.38,45.56,122.73,47.27,54.60,84.10,77.13,67.70,26.48,12.22,2.61,2.93,107.51,35.80,14.91,10.07,6.46,4.77,1023,f
4.38,45.56,123.59,47.27,54.60,84.10,76.53,67.14,26.48,12.22,2.61,2.93,107.51,35.80,14.91,9.23,6.46,4.77,1023,f
4.38,45.56,124.45,47.27,54.60,84.10,76.53,67.14,26.48,12.22,2.61,2.93,107.51,35.80,14.91,10.07,6.46,4.77,1023,f
4.38,45.56,124.45,47.27,53.95,83.51,77.13,67.14,26.48,12.22,2.61,2.93,107.51,34.72,14.03,9.23,6.46,3.57,1023,f
4.38,44.61,121.87,45.61,52.00,81.14,77.13,67.14,26.48,12.22,2.61,2.93,106.36,34.72,14.03,9.23,6.46,3.57,1023,f
4.38,45.56,124.45,47.27,53.95,82.91,75.94,67.14,26.01,12.22,2.61,2.93,106.36,34.72,14.03,9.23,6.46,3.57,1023,f
4.38,46.51,124.45,46.44,53.30,82.32,74.74,66.02,26.01,11.75,2.61,2.93,105.22,34.72,14.03,9.23,6.46,3.57,1023,f
4.38,44.61,121.87,46.44,52.65,81.14,74.14,65.46,25.54,11.75,2.61,2.93,104.07,33.63,14.03,9.23,6.46,3.57,1023,f
4.38,46.51,124.45,46.44,53.30,82.32,71.75,63.79,25.54,11.75,2.61,2.93,101.79,33.63,14.03,9.23,6.46,3.57,1023,f
4.38,45.56,124.45,45.61,52.00,81.14,67.56,60.99,24.59,10.81,2.61,2.93,99.50,32.55,13.15,9.23,5.53,3.57,1023,f
4.38,46.51,124.45,45.61,52.65,81.14,60.99,57.07,23.65,10.81,2.61,1.95,92.64,30.38,13.15,8.39,5.53,3.57,1023,f
4.38,43.67,119.30,43.12,48.75,75.81,44.25,47.00,20.81,9.40,1.96,1.95,84.63,27.12,11.40,7.55,5.53,3.57,1023,f
4.38,42.72,116.72,42.29,48.10,74.62,23.32,29.65,15.61,6.58,1.96,1.95,80.06,24.95,14.03,9.23,4.61,2.38,1023,f
3.50,40.82,111.58,38.15,43.55,68.11,17.94,20.70,10.88,5.17,1.30,1.95,58.33,18.44,17.54,10.07,4.61,2.38,1023,f
3.50,35.12,93.55,31.51,36.40,59.22,18.54,21.26,11.35,5.17,1.30,1.95,62.90,19.53,17.54,10.91,4.61,2.38,1023,f
3.50,66.45,210.28,23.22,35.75,67.52,20.93,23.50,12.30,5.64,1.30,1.95,74.34,22.78,19.29,12.59,4.61,2.38,1023,f
3.50,72.14,235.17,25.71,37.70,71.66,21.53,24.62,12.77,5.64,1.30,1.95,76.63,23.87,20.17,12.59,5.53,2.38,1023,f
3.50,71.19,231.73,25.71,36.40,70.48,21.53,24.62,12.77,5.64,1.30,1.95,76.63,23.87,20.17,12.59,5.53,2.38,1023,f
3.50,70.24,232.59,24.88,36.40,70.48,21.53,24.62,12.77,5.64,1.30,1.95,76.63,23.87,20.17,12.59,5.53,2.38,1023,f
3.50,70.24,231.73,24.88,36.40,70.48,21.53,24.06,12.77,5.64,1.30,1.95,75.48,23.87,20.17,12.59,5.53,2.38,1023,f
3.50,70.24,232.59,24.88,35.75,69.88,21.53,24.06,12.77,5.64,1.30,1.95,75.48,22.78,19.29,12.59,5.53,2.38,1023,f
